id,name.local,name.en,name.slug,code.id,children_count.commune,geo.lat,geo.lon
MR018,Adel Bagrou,Adel Bagrou,adel-bagrou-mr018,MR018,3,15.809,-6.653
MR011,Amourj,Amourj,amourj-mr011,MR011,5,15.84,-7.392
MR012,Bassiknou,Bassiknou,bassiknou-mr012,MR012,4,16.171,-6.086
MR013,Djiguenni,Djiguenni,djiguenni-mr013,MR013,7,16.019,-8.785
MR017,N'Beiket Lehwach,N'Beiket Lehwach,nbeiket-lehwach-mr017,MR017,1,18.549,-6.107
MR014,Néma,Néma,nma-mr014,MR014,10,16.36,-7.333
MR015,Oualata,Oualata,oualata-mr015,MR015,2,19.887,-6.924
MR016,Timbédra,Timbédra,timbdra-mr016,MR016,5,16.218,-8.216
