id,name.local,name.en,name.slug,code.id,children_count.commune,geo.lat,geo.lon
MR061,Boutilimit,Boutilimit,boutilimit-mr061,MR061,7,17.909,-14.328
MR062,Keur Macen,Keur Macen,keur-macen-mr062,MR062,3,16.528,-16.309
MR063,Mederdra,Mederdra,mederdra-mr063,MR063,5,17.12,-15.771
MR064,Ouad Naga,Ouad Naga,ouad-naga-mr064,MR064,3,18.117,-15.422
MR065,R'Kiz,R'Kiz,rkiz-mr065,MR065,3,17.107,-14.997
MR066,Rosso,Rosso,rosso-mr066,MR066,2,16.654,-15.698
MR067,Tekane,Tekane,tekane-mr067,MR067,4,16.742,-15.17
