id,level,level_name.local,level_name.en,name.local,name.en,name.slug,code.id,code.iso,parent.id,parent.name.local,parent.name.en,children_count.wilaya,children_count.moughataa,children_count.commune,zip_codes,geo.lat,geo.lon
MR01,1,ولاية,Wilaya,Hodh Chargui,Hodh Chargui,hodh-chargui-mr01,MR01,,,,,,8,37,,18.653,-7.132
MR011,2,مقاطعة,Moughataa,Amourj,Amourj,amourj-mr011,MR011,,MR01,Hodh Chargui,Hodh Chargui,,,5,,15.84,-7.392
MR012,2,مقاطعة,Moughataa,Bassiknou,Bassiknou,bassiknou-mr012,MR012,,MR01,Hodh Chargui,Hodh Chargui,,,4,,16.171,-6.086
MR013,2,مقاطعة,Moughataa,Djiguenni,Djiguenni,djiguenni-mr013,MR013,,MR01,Hodh Chargui,Hodh Chargui,,,7,,16.019,-8.785
MR014,2,مقاطعة,Moughataa,Néma,Néma,nma-mr014,MR014,,MR01,Hodh Chargui,Hodh Chargui,,,10,,16.36,-7.333
MR015,2,مقاطعة,Moughataa,Oualata,Oualata,oualata-mr015,MR015,,MR01,Hodh Chargui,Hodh Chargui,,,2,,19.887,-6.924
MR016,2,مقاطعة,Moughataa,Timbédra,Timbédra,timbdra-mr016,MR016,,MR01,Hodh Chargui,Hodh Chargui,,,5,,16.218,-8.216
MR017,2,مقاطعة,Moughataa,N'Beiket Lehwach,N'Beiket Lehwach,nbeiket-lehwach-mr017,MR017,,MR01,Hodh Chargui,Hodh Chargui,,,1,,18.549,-6.107
MR018,2,مقاطعة,Moughataa,Adel Bagrou,Adel Bagrou,adel-bagrou-mr018,MR018,,MR01,Hodh Chargui,Hodh Chargui,,,3,,15.809,-6.653
MR02,1,ولاية,Wilaya,Hodh El Gharbi,Hodh El Gharbi,hodh-el-gharbi-mr02,MR02,,,,,,5,29,,16.57,-9.734
MR021,2,مقاطعة,Moughataa,Aïoun,Aïoun,aoun-mr021,MR021,,MR02,Hodh El Gharbi,Hodh El Gharbi,,,7,,16.727,-9.272
MR022,2,مقاطعة,Moughataa,Kobeni,Kobeni,kobeni-mr022,MR022,,MR02,Hodh El Gharbi,Hodh El Gharbi,,,7,,15.902,-9.452
MR023,2,مقاطعة,Moughataa,Tamchekett,Tamchekett,tamchekett-mr023,MR023,,MR02,Hodh El Gharbi,Hodh El Gharbi,,,5,,17.117,-10.443
MR024,2,مقاطعة,Moughataa,Tintane,Tintane,tintane-mr024,MR024,,MR02,Hodh El Gharbi,Hodh El Gharbi,,,6,,16.11,-10.345
MR025,2,مقاطعة,Moughataa,Touil,Touil,touil-mr025,MR025,,MR02,Hodh El Gharbi,Hodh El Gharbi,,,4,,15.556,-10.254
MR03,1,ولاية,Wilaya,Assaba,Assaba,assaba-mr03,MR03,,,,,,5,26,,16.713,-11.856
MR031,2,مقاطعة,Moughataa,Barkéol,Barkéol,barkol-mr031,MR031,,MR03,Assaba,Assaba,,,8,,16.642,-12.443
MR032,2,مقاطعة,Moughataa,Boumdeid,Boumdeid,boumdeid-mr032,MR032,,MR03,Assaba,Assaba,,,3,,17.744,-11.279
MR033,2,مقاطعة,Moughataa,Guerou,Guerou,guerou-mr033,MR033,,MR03,Assaba,Assaba,,,4,,16.876,-11.929
MR034,2,مقاطعة,Moughataa,Kankoussa,Kankoussa,kankoussa-mr034,MR034,,MR03,Assaba,Assaba,,,5,,15.713,-11.146
MR035,2,مقاطعة,Moughataa,Kiffa,Kiffa,kiffa-mr035,MR035,,MR03,Assaba,Assaba,,,6,,16.69,-11.323
MR04,1,ولاية,Wilaya,Gorgol,Gorgol,gorgol-mr04,MR04,,,,,,5,31,,15.947,-12.676
MR041,2,مقاطعة,Moughataa,Kaedi,Kaedi,kaedi-mr041,MR041,,MR04,Gorgol,Gorgol,,,5,,15.958,-12.9
MR042,2,مقاطعة,Moughataa,Maghama,Maghama,maghama-mr042,MR042,,MR04,Gorgol,Gorgol,,,8,,15.534,-12.854
MR043,2,مقاطعة,Moughataa,M'Bout,M'Bout,mbout-mr043,MR043,,MR04,Gorgol,Gorgol,,,9,,16.014,-12.377
MR044,2,مقاطعة,Moughataa,Mounguel,Mounguel,mounguel-mr044,MR044,,MR04,Gorgol,Gorgol,,,5,,16.487,-12.967
MR045,2,مقاطعة,Moughataa,Lexeibe 1,Lexeibe 1,lexeibe-1-mr045,MR045,,MR04,Gorgol,Gorgol,,,4,,16.174,-13.062
MR05,1,ولاية,Wilaya,Brakna,Brakna,brakna-mr05,MR05,,,,,,6,24,,17.293,-13.279
